PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,AVG,TD,Season,Week
Matt Jones,WAS,3.87,--,2.74,13,61,4.7,1,2016,2
Christine Michael,SEA,3.31,20,2.34,10,60,6,0,2016,2
LeSean McCoy,BUF,4.48,6.67,2.74,15,59,3.9,0,2016,2
Spencer Ware,KC,4.16,20,2.58,10,57,5.7,0,2016,2
Chris Johnson,ARI,4.59,50,2.43,16,54,3.4,1,2016,2
Todd Gurley,LAR,5.52,63.16,2.48,19,51,2.7,0,2016,2
Eddie Lacy,GB,4.36,8.33,2.84,12,50,4.2,0,2016,2
Tevin Coleman,ATL,4.07,50,2.93,12,46,3.8,1,2016,2
David Johnson,ARI,5.03,8.33,3.16,12,45,3.8,0,2016,2
Frank Gore,IND,3.81,69.23,2.24,13,44,3.4,0,2016,2
Terrance West,BAL,4.69,9.09,2.87,11,42,3.8,0,2016,2
Shane Vereen,NYG,3.67,--,2.71,14,42,3,0,2016,2
Darren Sproles,PHI,5.42,--,2.99,12,40,3.3,0,2016,2
Justin Forsett,BAL,6.35,14.29,3.07,14,37,2.6,0,2016,2
Theo Riddick,DET,4.19,18.18,2.71,11,37,3.4,0,2016,2
Carlos Hyde,SF,7.54,--,3.26,14,34,2.4,0,2016,2
Jeremy Langford,CHI,5.72,18.18,2.41,11,28,2.5,1,2016,2
Rashad Jennings,NYG,5.82,16.67,2.53,12,26,2.2,0,2016,2
Jeremy Hill,CIN,6.51,18.18,2.65,11,22,2,0,2016,2
Adrian Peterson,MIN,8.34,41.67,2.64,12,19,1.6,0,2016,2
Devonta Freeman,ATL,2.75,7.14,2.65,14,152,10.9,0,2016,3
Ezekiel Elliott,DAL,4.16,50,2.76,30,140,4.7,0,2016,3
DeMarco Murray,TEN,3.06,25,2.84,16,114,7.1,1,2016,3
LeSean McCoy,BUF,3.43,35.29,2.65,17,110,6.5,2,2016,3
Christine Michael,SEA,3.65,5,2.44,20,106,5.3,2,2016,3
LeGarrette Blount,NE,3.18,41.67,2.37,24,105,4.4,2,2016,3
Eddie Lacy,GB,3.54,11.76,2.57,17,103,6.1,0,2016,3
Carlos Hyde,SF,3.55,42.86,2.38,21,103,4.9,2,2016,3
Jeremy Hill,CIN,3.03,35.29,2.58,17,97,5.7,2,2016,3
Todd Gurley,LAR,4.64,18.52,2.42,27,85,3.1,2,2016,3
David Johnson,ARI,4.17,26.32,2.6,19,83,4.4,2,2016,3
Frank Gore,IND,3.66,19.05,2.45,21,82,3.9,1,2016,3
Lamar Miller,HOU,3.87,4.76,2.34,21,80,3.8,0,2016,3
Wendell Smallwood,PHI,4.07,41.18,3.05,17,79,4.6,1,2016,3
Isaiah Crowell,CLE,3.07,46.67,2.64,15,79,5.3,0,2016,3
Mark Ingram,NO,3.1,6.67,2.2,15,77,5.1,0,2016,3
Spencer Ware,KC,4.97,20,2.55,20,75,3.8,0,2016,3
Duke Johnson,CLE,2.75,30,2.37,10,69,6.9,0,2016,3
Shane Vereen,NYG,2.39,--,2.63,11,67,6.1,1,2016,3
Matt Forte,NYJ,3.97,--,2.29,15,65,4.3,0,2016,3
Matt Jones,WAS,4.24,17.65,2.97,17,65,3.8,0,2016,3
Charles Sims,TB,4.16,46.15,2.6,13,55,4.2,1,2016,3
